participant_id;mode;timestamp_end;duration;age_range;gender;education;job_function;experience;email_frequency;prior_training;device;P1_answer;P1_correct;P1_confidence;P1_cues;P1_time;P2_answer;P2_correct;P2_confidence;P2_cues;P2_time;P3_answer;P3_correct;P3_confidence;P3_cues;P3_time;P4_answer;P4_correct;P4_confidence;P4_cues;P4_time;L1_answer;L1_correct;L1_confidence;L1_cues;L1_time;L2_answer;L2_correct;L2_confidence;L2_cues;L2_time;L3_answer;L3_correct;L3_confidence;L3_cues;L3_time;L4_answer;L4_correct;L4_confidence;L4_cues;L4_time;P5_answer;P5_correct;P5_confidence;P5_cues;P5_time;P6_answer;P6_correct;P6_confidence;P6_cues;P6_time;P7_answer;P7_correct;P7_confidence;P7_cues;P7_time;P8_answer;P8_correct;P8_confidence;P8_cues;P8_time;L5_answer;L5_correct;L5_confidence;L5_cues;L5_time;L6_answer;L6_correct;L6_confidence;L6_cues;L6_time;L7_answer;L7_correct;L7_confidence;L7_cues;L7_time;L8_answer;L8_correct;L8_confidence;L8_cues;L8_time;Q1;Q2;Q3;Q4;Q5;Q6;Q7;Q8;phase1_accuracy;phase1_phishing_accuracy;phase1_legit_accuracy;phase2_accuracy;phase2_phishing_accuracy;phase2_legit_accuracy;phase1_avg_confidence;phase2_avg_confidence;phase1_cue_accuracy;excluded_IT;completed
30898b3a;b;[redacted];642;34–44 tahun;;Pascasarjana (S2/S3);Akademik / Pengajaran;Lebih dari 10 tahun;Sering (lebih dari 20 email per hari);Tidak;Smartphone / HP;phishing;1;4;A|B|C;40.7;phishing;1;7;A|B|C;86.8;phishing;1;6;A|B|C|D;30.2;phishing;1;6;A|B|C|D;37.8;phishing;0;5;;25.4;legitimate;1;6;;17.4;phishing;0;5;;17.8;phishing;0;5;;21.7;phishing;1;7;;10.7;phishing;1;6;;15.8;phishing;1;6;;26.5;phishing;1;6;;16.2;legitimate;1;7;;15;phishing;0;7;;33.5;legitimate;1;7;;23.5;legitimate;1;6;;47.8;7;7;6;6;7;6;7;Adanya peringatan lebih membantu ketika harus cepat menbalas email dsb, ;0.62;1;0.25;0.88;1;0.75;5.5;6.5;1;No;Yes
d64bf340;b;[redacted];862;25–34 tahun;;Sarjana (S1);Akademik / Pengajaran;1–2 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;phishing;1;5;B;71.9;phishing;1;5;D;39.7;legitimate;0;5;A;37;phishing;1;5;B;150.2;phishing;0;6;;58.8;phishing;0;6;;11.8;phishing;0;6;;24.3;phishing;0;5;;27;legitimate;0;6;;7.5;phishing;1;6;;10.2;phishing;1;5;;22.8;legitimate;0;5;;25.9;phishing;0;5;;10.2;phishing;0;4;;42.2;phishing;0;6;;12.5;legitimate;1;6;;13.3;6;6;6;7;6;6;6;Alamat email yang ditujukan, ada beberapa alamat email yang terkadang kita jarang tahu seperti secure.net . Itu saja si paling yg membingunkan ;0.38;0.75;0;0.38;0.5;0.25;5.38;5.38;0.75;No;Yes
bbcb5f8c;b;[redacted];2710;25–34 tahun;;Sarjana (S1);Arsitek;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;6;A;86.5;phishing;1;6;A;71.6;phishing;1;6;D;153.2;phishing;1;6;B;212.6;legitimate;1;6;;28.4;legitimate;1;6;;196.2;legitimate;1;6;;20.1;legitimate;1;6;;10.3;phishing;1;5;;198.3;phishing;1;5;;224.3;phishing;1;6;;145.3;phishing;1;5;;621.1;legitimate;1;5;;27.1;legitimate;1;6;;9.4;legitimate;1;6;;17.8;legitimate;1;6;;34.3;6;6;6;5;5;3;6;yang paling membantu adalah sistem peringatan mampu menjelaskan dengan rinci perbedaan antara email resmi dan tidak resmi;1;1;1;1;1;1;6;5.5;0.75;No;Yes
d79aa6da;b;[redacted];1113;34–44 tahun;;Sarjana (S1);Desain Grafis;6-10 tahun;Jarang (kurang dari 5 email per hari);Tidak;Komputer Desktop;phishing;1;7;A;213.3;phishing;1;7;A;23.8;phishing;1;7;A|D;98.2;phishing;1;7;;8;legitimate;1;7;;10.5;legitimate;1;7;;5.7;legitimate;1;7;;19.1;legitimate;1;7;;21.3;phishing;1;7;;20;phishing;1;7;;15.9;phishing;1;7;;57.2;legitimate;0;4;;93;legitimate;1;7;;33.2;legitimate;1;7;;65.1;legitimate;1;7;;13.4;legitimate;1;7;;19.2;7;5;7;6;7;6;7;Peringatan membantu seperti pada contoh awal pertanyaan dapat membantu mengenali email palsu atau asli;1;1;1;0.88;0.75;1;7;6.62;1;No;Yes
38df3f60;b;[redacted];243;34–44 tahun;;Pascasarjana (S2/S3);Keuangan / Akuntansi;Lebih dari 10 tahun;Sering (lebih dari 20 email per hari);Tidak;Laptop;phishing;1;1;A;10.8;phishing;1;1;A;7.9;phishing;1;1;A;9.1;phishing;1;1;A;19.6;phishing;0;1;;8;phishing;0;1;;7.6;legitimate;1;4;;7.8;legitimate;1;4;;10.3;phishing;1;1;;5.9;phishing;1;1;;5;phishing;1;1;;5.9;phishing;1;1;;7.1;legitimate;1;3;;8.1;legitimate;1;2;;14.5;phishing;0;1;;10.8;phishing;0;2;;9.5;5;6;5;4;5;5;6;;0.75;1;0.5;0.75;1;0.5;1.75;1.5;1;No;Yes
9e02d9d1;b;[redacted];971;34–44 tahun;;SMA / Sederajat;Manajemen / Eksekutif;6-10 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;phishing;1;6;A;138.8;phishing;1;5;C;70.8;phishing;1;6;A;14.3;phishing;1;5;B;138.6;legitimate;1;6;;9.2;legitimate;1;5;;138.3;legitimate;1;4;;24.6;legitimate;1;6;;9.1;phishing;1;5;;7.8;legitimate;0;5;;16.5;phishing;1;6;;54;phishing;1;6;;41.9;legitimate;1;6;;6.5;legitimate;1;6;;8;legitimate;1;6;;6.4;phishing;0;6;;7.7;6;6;6;5;6;2;6;Ada kemungkinan kekeliruan dalam membedakan alamat domain asli dan palsu;1;1;1;0.75;0.75;0.75;5.38;5.75;0.75;No;Yes
98dca742;b;[redacted];264;45-54 tahun;;Pascasarjana (S2/S3);Planner;Lebih dari 10 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;legitimate;0;7;A|B|C|D;10.2;legitimate;0;6;A|B|C|D;17.3;legitimate;0;6;B;13.2;legitimate;0;7;A|B|C|D;25.9;legitimate;1;7;;13.3;legitimate;1;7;;8.7;legitimate;1;7;;6;legitimate;1;7;;5.9;legitimate;0;4;;9.7;legitimate;0;6;;6;legitimate;0;7;;9.2;legitimate;0;7;;5;legitimate;1;6;;7.1;legitimate;1;6;;6.7;legitimate;1;6;;4;legitimate;1;6;;13.4;6;4;6;5;6;7;7;membedakan robotic dan non robotic;0.5;0;1;0.5;0;1;6.75;6;1;No;Yes
e436caab;b;[redacted];331;34–44 tahun;;Sarjana (S1);Keuangan / Akuntansi;Lebih dari 10 tahun;Sedang (5–20 email per hari);Tidak;Smartphone / HP;legitimate;0;6;;13.8;phishing;1;5;A;19.8;legitimate;0;6;;16.6;phishing;1;5;B|C|D;31.1;legitimate;1;5;;9.9;phishing;0;5;;21;legitimate;1;7;;9.1;legitimate;1;5;;13.1;legitimate;0;5;;7.2;phishing;1;5;;9.9;phishing;1;3;;5.3;legitimate;0;5;;8.3;legitimate;1;5;;8.9;phishing;0;5;;7.3;legitimate;1;5;;12.2;legitimate;1;5;;8.6;4;5;5;4;5;2;6;;0.62;0.5;0.75;0.62;0.5;0.75;5.5;4.75;1;No;Yes
a2e4ad84;b;[redacted];691;25–34 tahun;;Pascasarjana (S2/S3);Layanan Pelanggan;3–5 tahun;Jarang (kurang dari 5 email per hari);Tidak;Smartphone / HP;phishing;1;5;A;79.7;phishing;1;6;A;21.1;phishing;1;5;A;33.5;phishing;1;4;A;54.8;legitimate;1;5;;42.5;legitimate;1;4;;76.8;legitimate;1;6;;14.6;legitimate;1;6;;7.3;phishing;1;6;;7.7;phishing;1;3;;12.5;phishing;1;5;;11.2;phishing;1;5;;21.4;legitimate;1;7;;11.9;legitimate;1;6;;10.8;legitimate;1;2;;29.3;legitimate;1;5;;16.8;5;3;5;6;5;2;6;Ketika ada sistem peringatan jadi lebih hati-hati;1;1;1;1;1;1;5.12;4.88;1;No;Yes
83ae2b67;a;[redacted];597;25–34 tahun;;SMA / Sederajat;Layanan Pelanggan;Kurang dari 1 tahun;Jarang (kurang dari 5 email per hari);Tidak;Laptop;phishing;1;5;A;64.7;phishing;1;4;;10.3;phishing;1;5;D;56.9;phishing;1;4;B|D;34.7;legitimate;1;4;;18.2;legitimate;1;4;;7.2;legitimate;1;4;;17.6;legitimate;1;4;;16.5;phishing;1;4;;8;phishing;1;4;;35.3;phishing;1;4;;8.3;phishing;1;4;;7.7;legitimate;1;4;;8.4;legitimate;1;4;;6.6;legitimate;1;4;;9.2;legitimate;1;4;;18.3;6;4;5;4;4;4;4;;1;1;1;1;1;1;4.25;4;0.67;No;Yes
